ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,date_start,impressions,spend,purchases,revenue
120210533205600668,Inny wstep,120210533205580668,Int-Metaphysics,120209613338180668,AuraReveal | Testing Interest,2024-10-29,11,0.2,0,0.0
120211644023100668,Ex Back H3,120211644023120668,Ex Back,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-29,63,1.92,0,0.0
120211643359390668,Inny wstep,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-29,12,0.19,0,0.0
120210646786120668,White,120210646786200668,White,120209660513520668,AuraReveal | Testing Creatives,2024-10-29,4169,102.11,14,479.41
120211643303030668,Video 3,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-29,459,14.89,0,0.0
120210395878760668,Video 1 - 08-24,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-29,1970,35.34,7,239.7
120211643303020668,Video 1 - 08-24,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-29,278,6.43,0,0.0
120211643302970668,Green,120211643303090668,Original Copy,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-29,6,0.23,0,0.0
120210907088330668,Green,120210533205580668,Int-Metaphysics,120209613338180668,AuraReveal | Testing Interest,2024-10-29,105,3.19,0,0.0
120211643373130668,Inny wstep - Copy Variation 2,120211643373080668,Copy Variation 2,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-29,21,0.51,0,0.0
120210907088340668,Inny wstep,120210533205580668,Int-Metaphysics,120209613338180668,AuraReveal | Testing Interest,2024-10-29,294,6.58,7,239.7
120211643373170668,Video 1 - 08-24 - Copy Variation 2,120211643373080668,Copy Variation 2,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-29,337,6.99,0,0.0
120211627054050668,Red,120211627053880668,Red,120211627053770668,Testing CBO - Top OldCreatives - 25/10,2024-10-29,3806,81.62,14,479.41
120210907088380668,Inny wstep,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-29,414,7.73,7,239.7
120211643373160668,Inny wstep - Copy Variation 1,120211643373140668,Copy Variation 1,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-29,31,0.62,0,0.0
120210907088390668,Green,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-29,79,1.57,0,0.0
120210395878820668,Image 5,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-29,8,0.14,0,0.0
120211627054030668,Pink,120211627053860668,Pink,120211627053770668,Testing CBO - Top OldCreatives - 25/10,2024-10-29,352,10.65,7,239.7
120211644023130668,Love H2,120211644023110668,Love,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-29,198,4.69,0,0.0
120211627054020668,Inny wstep,120211627053840668,Inny wstep,120211627053770668,Testing CBO - Top OldCreatives - 25/10,2024-10-29,424,10.8,7,239.7
120211358935500668,Image long text 3,120211358935720668,Image long text 3,120211358933100668,AuraReveal | Testing Creatives | Aura Analysis LP,2024-10-29,758,21.69,0,0.0
120211358935360668,Image long text 1,120211358935730668,Image long text 1,120211358933100668,AuraReveal | Testing Creatives | Aura Analysis LP,2024-10-29,705,19.65,0,0.0
120211358934350668,Love Advise,120211358935740668,Love Advise - Interest-Based,120211358933100668,AuraReveal | Testing Creatives | Aura Analysis LP,2024-10-29,942,21.1,0,0.0
120211284504480668,White,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-29,27,0.43,0,0.0
120211627054050668,Red,120211627053880668,Red,120211627053770668,Testing CBO - Top OldCreatives - 25/10,2024-10-30,2696,55.12,49,1677.93
120211643373170668,Video 1 - 08-24 - Copy Variation 2,120211643373080668,Copy Variation 2,120211643303010668,AuraReveal | Testing Copy | Aura Analysis LP,2024-10-30,29,0.52,0,0.0
120211644023080668,General H1,120211644023090668,General,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-30,1041,31.63,0,0.0
120211644023100668,Ex Back H3,120211644023120668,Ex Back,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-30,23,0.45,0,0.0
120210395878870668,Video 3,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,1,0.0,0,0.0
120211644023170668,Ex Back H2,120211644023120668,Ex Back,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-30,208,7.88,7,341.11
120211644023130668,Love H2,120211644023110668,Love,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-30,16,0.45,0,0.0
120211644023140668,General H2,120211644023090668,General,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-30,6,0.07,0,0.0
120211644023150668,Love H1,120211644023110668,Love,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-30,543,16.18,7,239.7
120211644023160668,General H3,120211644023090668,General,120211643546080668,Testing CBO - New Creatives - 26/10,2024-10-30,48,1.76,0,0.0
120210395878900668,Video 1,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,5,0.07,0,0.0
120210395878950668,Video 3,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,1,0.01,0,0.0
120210533205590668,Video 3,120210533205580668,Int-Metaphysics,120209613338180668,AuraReveal | Testing Interest,2024-10-30,1822,42.5,7,329.71
120210533205600668,Inny wstep,120210533205580668,Int-Metaphysics,120209613338180668,AuraReveal | Testing Interest,2024-10-30,1,0.0,0,0.0
120210646786120668,White,120210646786200668,White,120209660513520668,AuraReveal | Testing Creatives,2024-10-30,4224,102.92,35,1198.52
120210907088330668,Green,120210533205580668,Int-Metaphysics,120209613338180668,AuraReveal | Testing Interest,2024-10-30,322,10.46,7,239.7
120210395878760668,Video 1 - 08-24,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,1175,20.0,7,239.7
120210907088340668,Inny wstep,120210533205580668,Int-Metaphysics,120209613338180668,AuraReveal | Testing Interest,2024-10-30,288,5.16,0,0.0
120210907088380668,Inny wstep,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,100,2.02,0,0.0
120210907088390668,Green,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,58,1.18,0,0.0
120210970753680668,Pink,120210970753690668,Pink,120209660513520668,AuraReveal | Testing Creatives,2024-10-30,4689,99.86,21,809.11
120210395878720668,Video 3,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,430,9.43,7,329.71
120211284504480668,White,120210395878700668,Int-Motivation,120209613338180668,AuraReveal | Testing Interest,2024-10-30,18,0.38,0,0.0
120211284504500668,White,120210533205580668,Int-Metaphysics,120209613338180668,AuraReveal | Testing Interest,2024-10-30,105,2.16,0,0.0
120211284662960668,Love Advise,120211284662970668,Love Advise - Interest-Based,120209660513520668,AuraReveal | Testing Creatives,2024-10-30,37,2.19,0,0.0
120211284851010668,Love Advise 2,120211284851040668,Love Advise 2 - Interest-Based,120209660513520668,AuraReveal | Testing Creatives,2024-10-30,68,1.93,0,0.0
120211284851030668,Love Magnet,120211284851020668,Love Magnet - Interest-Based,120209660513520668,AuraReveal | Testing Creatives,2024-10-30,729,17.77,0,0.0
120211285013650668,Love Magnet 2,120211285013660668,Love Magnet 2 - Interest-Based,120209660513520668,AuraReveal | Testing Creatives,2024-10-30,783,24.28,0,0.0
120211358933770668,Video 3,120211358934730668,Happily Divorced,120211358933690668,AuraReveal | Testing Interest | Aura Analysis LP,2024-10-30,1910,53.18,7,329.41
120211358933780668,Video 2,120211358934730668,Happily Divorced,120211358933690668,AuraReveal | Testing Interest | Aura Analysis LP,2024-10-30,1,0.01,0,0.0
120211358933800668,Video 3,120211358934730668,Happily Divorced,120211358933690668,AuraReveal | Testing Interest | Aura Analysis LP,2024-10-30,1,0.01,0,0.0
120211358933810668,Image 2,120211358934730668,Happily Divorced,120211358933690668,AuraReveal | Testing Interest | Aura Analysis LP,2024-10-30,1,0.02,0,0.0
